Lat,Lon,Alt,Date,H2,O18,geometry,Label
52.3,104.2833333,469,2011-06-15T00:00:00.0000000+02:00,-111.2,-14,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2011-07-15T00:00:00.0000000+02:00,-74.1,-9.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2011-08-15T00:00:00.0000000+02:00,-101.4,-14.2,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2011-09-15T00:00:00.0000000+02:00,-108,-13.1,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2011-10-15T00:00:00.0000000+02:00,-127,-17.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2011-11-15T00:00:00.0000000+01:00,-224.1,-30.1,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2011-12-15T00:00:00.0000000+01:00,-208.7,-27.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-01-15T00:00:00.0000000+01:00,-218.7,-29,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-02-15T00:00:00.0000000+01:00,-207.4,-26.4,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-06-15T00:00:00.0000000+02:00,-91.8,-10,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-07-15T00:00:00.0000000+02:00,-100.8,-13,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-08-15T00:00:00.0000000+02:00,-87.1,-11,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-09-15T00:00:00.0000000+02:00,-107.9,-15,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-10-15T00:00:00.0000000+02:00,-225.5,-29.9,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2012-11-15T00:00:00.0000000+01:00,-165.9,-22.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-01-15T00:00:00.0000000+01:00,-226.2,-29.2,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-02-15T00:00:00.0000000+01:00,-251.3,-30.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-03-15T00:00:00.0000000+01:00,-169.2,-21.8,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-04-15T00:00:00.0000000+02:00,-86.7,-12.6,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-05-15T00:00:00.0000000+02:00,-103.1,-12.8,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-06-15T00:00:00.0000000+02:00,-99.7,-12.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-07-15T00:00:00.0000000+02:00,-103.6,-12.2,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-08-15T00:00:00.0000000+02:00,-86,-10.9,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-09-15T00:00:00.0000000+02:00,-117.2,-15.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2013-10-15T00:00:00.0000000+02:00,-120.7,-16.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2014-12-15T00:00:00.0000000+01:00,-230.5,-29.6,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-01-15T00:00:00.0000000+01:00,-215.2,-27.6,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-02-15T00:00:00.0000000+01:00,-211.2,-25.9,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-03-15T00:00:00.0000000+01:00,-175.3,-21.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-04-15T00:00:00.0000000+02:00,-112.3,-15.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-05-15T00:00:00.0000000+02:00,-84.6,-10.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-06-15T00:00:00.0000000+02:00,-107.2,-14.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-07-15T00:00:00.0000000+02:00,-61.8,-9.4,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-08-15T00:00:00.0000000+02:00,-85.6,-12.1,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-09-15T00:00:00.0000000+02:00,-127.3,-16.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-10-15T00:00:00.0000000+02:00,-158.7,-20.7,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-11-15T00:00:00.0000000+01:00,-169.8,-21.3,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2015-12-15T00:00:00.0000000+01:00,-201.8,-25.5,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2016-01-15T00:00:00.0000000+01:00,-269.6,-33.8,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2016-02-15T00:00:00.0000000+01:00,-209.1,-26.1,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2016-03-15T00:00:00.0000000+01:00,-202.9,-26,POINT (104.2833333 52.3),lowData
52.3,104.2833333,469,2016-04-15T00:00:00.0000000+02:00,-102.1,-12.5,POINT (104.2833333 52.3),lowData
